id,recipe_name,instructions,notes,spice,temp,likes,dislikes,aroma,taste,texture,plantBased,gf,vegan,made,energy,cook_time,prep_time,servings
11,Pizza,"Combine yeast and warm water in a large mixing bowl or the bowl of a heavy-duty mixer and let stand until the yeast is dissolved, about 5 minutes. + Combine flour, olive oil, salt and sugar. Mix with yeast and water. + Mix all ingredients by hand or on low speed for about 1 minute to blend all the ingredients. Knead for about 10 minutes by hand or with the dough hook on low to medium speed until the dough is smooth and elastic. Transfer the dough to a bowl lightly coated with olive oil and turn it over once to coat with oil. Cover with plastic wrap and let rise in a warm place (75 to 80 degrees) until double in volume, 1 to 1 1/2 hours. + Preheat oven to 475 degrees F. Grease and dust 2 baking sheets with cornmeal. + Punch the dough down and divide it in half. Roll each piece into a ball and let it rest, loosely covered with plastic wrap, for 10 to 15 minutes. At this point prepare the desired toppings. + Flatten each ball of dough 1 at a time on a lightly floured work surface into a 12-inch round, rolling and stretching the dough. Place each dough circle on a prepared baking sheet; if using a baking stone, place them on baker's peels dusted with cornmeal. Lift the edge and pinch it to form a lip. To prevent the filling from making the crust soggy, brush the to of the dough with olive oil. + Use your fingertips to press dents into the surface of the dough (to prevent bubbling) and let rest for about 10 minutes. The pizza is now ready to be topped. + After topping bake until the crust is browned and the cheese is golden (if using cheese). This takes about 12 minutes. Remove from the oven, slice and serve at once.","You can lightly coat a dough ball with olive oil, put it in a zip-loc bag and either refrigerate it for 1 week or freeze it for 1 month. Just thaw in refrigerator for one day, take out and roll. If doing this, you can prepare the dough and put directly into the refrigerator (it will slowly rise). Then just take it out, roll into a round and let rest for about 10 min before baking.",0,1,0,0,,,,1,0,0,0,,15,2,6
12,Fresh Pasta,"Crack the eggs into a small bowl and whisk until homogenous. + Put the flour and salt in the bottom of a medium sized bowl. + Make a well. Pour the eggs into the well and, with a fork, slowly incorporate the egg into the flour and 1 t. olive oil. As it comes together, you can use your hands to knead it together in the bowl. Once it comes together as a single piece of dough, turn out onto the counter. + Knead the dough again for 1-2 minutes. If it is a little dry, you can add a bit of olive oil. If it is too wet, add a little flour. + Form the dough into a ball, wrap to keep out the air and keep the dough from crusting, and let it rest for at least 30 minutes.+ When ready to roll the dough out, place a portion of the dough on a floured surface and roll until the pasta is thin enough to see the light through. + Roll the sheet of pasta loosely and cut into noodles of a desired width. Sprinkle noodles with flour and form into a loose nest. Repeat until you have rolled out all the dough. Let cut pasta rest for 15 minutes.+ Bring a large pot of water to a boil. Add 1-2 Tbsp salt. Cook fresh pasta. Depending on the thickness of the noodles, it should only take 3-4 minutes. ",,0,1,0,0,,,,1,0,0,0,,4,75,2
13,Vegan Chickpea Fritters,"Heat the oven to 200°F. + In a mixing bowl, mash the chickpeas with a fork or pastry cutter until they are pasty, but with some chunks of chickpeas still in the mixture. + Sauté the onion and garlic in the olive oil until lightly caramelized. Season with salt and pepper and add to the mashed chickpeas. + Add all the remaining ingredients except canola oil to the mashed chickpeas and stir until moistened and a handful holds together in a ball. + Divide the fritter “dough” into 8 x ¼ cup balls, then, using your hands, lightly press and pat each ball to make a patty approximately 3 inches across and ½-inch thick. Moisten your hands with a little water if the patties begin to stick to your palms. Place the patties on a baking sheet until ready to cook. + When ready to cook, heat the canola oil until shimmering but not smoking. Add no more than 4 patties to the pan at a time and fry until golden brown on both sides. As fritters are finished cooking, transfer them to the baking sheet hold in the warm oven until ready to serve. Serve the chickpea fritters with a generous dollop of the aquafaba mayo dipping sauce.",,0,1,0,0,,,,1,0,1,0,,30,10,2
14,Cacio e Pepe Pasta,"While the pasta cooks in salted water (3-4 minutes for fresh pasta, 7-11 minutes for store bought), fry the freshly cracked pepper in the butter until fragrant. Do not let the butter brown. Dip out ¾ c of the pasta water from the pot when the pasta is almost finished cooking. + Add the pasta water to the hot butter and pepper. Just before the pasta is finished cooking, bring the butter mixture to a bubbling boil. + As soon as the pasta is finished cooking, drain it. Add the cooked pasta and 1 T of butter to the bubbling butter mixture and toss. + Add the parmesan to the pasta and stir vigorously. You want the water, butter, and cheese to form a smooth, velvety sauce. It should not be clumpy. + Off the heat, add the pecorino romano and stir vigorously until the sauce is smooth. Taste and adjust seasonings. Serve immediately. ",,0,1,0,0,,,,1,0,0,0,,15,5,2
15,Roasted Root Vegetables,"Preheat the oven to 425°F. + Wash, peel and cut veggies. + On a low-sided baking sheet, toss veggies together with salt and olive oil. Spread them out and roast until browned and tender, 25-30 minutes.","Cut the vegetables into different shapes, such as ½-inch cubes or 2-inch-long batons. + Use other vegetables, such as rutabagas, kohlrabi, fennel, or turnips. + Toss the vegetables with leaves of fresh marjoram, thyme, or savory along with the salt and oil. + Along with the salt and oil, toss the vegetables with ¼ teaspoon cumin or fennel seed, slightly crushed in a mortar and pestle. + While still hot from the oven, toss the vegetables with 2 garlic cloves, peeled and chopped fine, or 1 tablespoon chopped parsley, or both.",0,1,0,0,,,,1,1,1,0,,30,10,2
16,Vinaigrette,"Mince garlic and chop herbs. + Combine your acid with garlic, herbs, and sweetener in a large bowl and whisk to combine. + Whisking constantly, slowly drizzle in olive oil. + Season to taste with salt and pepper.","Alternatively, place all ingredients in a tightly sealed jar, seal, and shake vigorously until combined. ",0,0,0,0,,,,1,1,1,0,,0,10,2
17,Summer/Fall Garden Salad,"Wash the lettuce and set aside to dry, or dry in a salad spinner. Wash all other produce. + Peel cucumber (if desired) and cut into ½” dice. + Peel carrot (if desired) and cut into ½” dice. + Cut yellow pepper into ½” dice. + Cut red onion into ½” dice. + Take leaves off sprig of parsley and chop. + Tear or chop lettuce into bite sized pieces. + Assemble salad, dress, and serve.",Avoid dressing any portion of the salad that will not be eaten right away so the lettuce doesn’t get soggy.,0,0,0,0,,,,1,1,1,0,,0,20,2
18,Winter Garden Salad,"Wash the greens and set aside to dry, or dry in a salad spinner. Wash all other produce.+ Prepare the greens as necessary depending on type (see notes/alterations below). + Cut radishes into ½” dice. + Peel apple (if desired) and cut into ½” dice. + Peel carrot (if desired) and cut into ½” dice. + Cut red onion into ½” dice. + Take leaves off sprig of parsley and chop. + Assemble salad and serve.","If using a delicate salad green, avoid dressing any portion of the salad that will not be eaten right away so the lettuce doesn’t get soggy. + If using kale, the tough, fibrous leaves benefit from a massage with oil and salt up to 30 minutes before serving. Kale leaves will get soggy sitting in the dressing. ",0,0,0,0,,,,1,1,1,0,,0,20,2
19,Basic Tomato Sauce,"Warm 2 tablespoons of the oil with the garlic or onion in a medium skillet over medium-low heat. Cook, stirring occasionally, until the garlic is lightly golden or the onion is translucent. + Crush the whole tomatoes with a fork or your hands and add them to the skillet, along with salt and pepper. Raise the heat to medium-high and cook, stirring occasionally, until the tomatoes break down and the mixture because “saucy,” about ten minutes. Remove the garlic if you like. Stir in the remaining tablespoon of oil, taste for salt, and add more if necessary. This sauce may be covered and refrigerated for a day or two, or put in a closed container and frozen for several weeks. ","Buttery: Substitute butter for the oil + Aromatic: Omit the garlic if you like. Add a ½ cup each peeled, minced carrot, celery, and onion and cook until tender, about ten minutes, before adding the tomatoes. Especially good pureed. + With wine: Add a ½ cup dry white or red wine before adding the tomatoes; let about half of it bubble away before proceeding. + Thickened: Stir in two tablespoons of tomato paste before adding the tomatoes. + With herbs: Stir in two or three tablespoons of minced fresh basil leaves or one teaspoon minced fresh oregano or marjoram leaves (or ½ tsp dried), while the tomatoes are cooking. If you’re using basil, add more as garnish. Or simply garnish with plenty of fresh minced parsley, basil, or mint leaves. + Spicy tomato sauce: Add a sprinkling of crushed red pepper flakes with the garlic or onion.",0,1,0,0,,,,1,1,1,0,,20,10,4
20,Basic Fried Rice,"If using day-old rice, transfer to a medium bowl and break the rice up with your hands into individual grains before proceeding. Heat 1/2 tablespoon vegetable oil in a wok or large frying pan over high heat until shimmering. Add half of rice and cook, stirring and tossing, until the rice is pale brown and toasted and has a lightly chewy texture, about 3 minutes. Transfer to a medium bowl. Repeat with another 1/2 tablespoon oil and remaining rice. + Return all the rice to the wok and press it up the sides, leaving a space in the middle. Add 1/2 tablespoon oil to the space. Add onion, carrot, scallions, and garlic and cook, stirring gently, until lightly softened and fragrant, about 1 minute. Toss with rice to combine. Add soy sauce and sesame oil and toss to coat. Season to taste with salt and white pepper. + Push rice to the side of the wok and add remaining 1/2 tablespoon (7ml) oil. Break the egg into the oil and season with a little salt. Use a spatula to scramble the egg, breaking it up into small bits. Toss the egg and the rice together. + Add frozen peas and continue to toss and stir until peas are thawed and every grain of rice is separate. Serve immediately.","To prepare the rice: Rinse the rice. A quick dunk and shake in a bowl of cold water, or a 30-second rinse under a cold tap while agitating the rice, is plenty. + Follow the instructions on the container. Amount of water and cook time will depend on the type of rice. Make sure to keep it covered and don’t mix it while it cooks.",0,1,0,0,,,,1,1,0,0,,15,10,3
21,Thai Fried Rice,"Combine the fish sauce, soy sauce, and brown sugar and set aside.  + If using fresh green beans, put the 2” sections in a mortar and pestle and pound lightly until they are bruised and just beginning to burst open. (If using frozen green beans, skip this step.) + Heat 2 tbsp. of the oil until shimmering on medium to medium-high, then add the onion and sauté until translucent. Season with a pinch of salt. Add the garlic and ginger and cook until fragrant and the garlic is just beginning to turn pale golden in color, about 2 minutes.  + Add the fresh green beans and carrots to the pan and cook until they are warmed through. If using frozen green beans, add the carrots and cook until any liquid released has evaporated, then add the green beans and cook just enough to heat through. Add the whites of the chopped scallions to the pan. Season the veggies with a pinch of salt. + Push the vegetables aside to make a spot in the center of your pan. Add 1 tbsp of the oil to the clearing, then add the seasoned egg and scramble. + Add the last 1 tbsp of oil to the pan, then add the day-old rice. Use a spatula to mix all the ingredients together, then spread the mixture out evenly in the pan and press down lightly with the back of the spatula so the rice is in contact with the hot pan. Cook undisturbed for about 30 seconds, so the bottom layer of rice has time to lightly crisp, then use the spatula to break up and stir-fry the mixture again.  + After you have crisped then broken up the rice one time, add the sauce to the pan, mix it evenly throughout using the spatula, then repeat the crisping process 2-3 more times. + Take the fried rice off the heat and add the scallion greens and the chopped herbs and toss. Season with pepper. Taste and adjust seasoning if necessary. Serve with the Prik Nam Pla sauce.",,0,1,0,0,,,,1,1,0,0,,20,15,1
22,Miso Maple Cabbage Slaw,"Prepare the slaw ingredients. Core and shred the cabbage, cut the carrot and pepper in julienne, chop the cilantro, and thinly slice the green onions (whites and greens). Mince the garlic. + Combine the cabbage, carrot, and yellow pepper in a large bowl and set aside while you make the vinaigrette. + In a medium bowl, whisk together the miso, honey or maple syrup, ginger, garlic, rice wine vinegar, and sesame oil. Then add the neutral oil in a slow stream while whisking continuously, until the dressing is emulsified. + Just before serving*, add the dressing to the slaw ingredients and toss to combine. Add the chopped cilantro and green onions and toss again. Divide between plates and serve. ","Timing of dressing will depend on how thickly your veggies are cut and how crisp/marinated you like your slaw to be. Add dressing earlier if your cuts are thicker, or you prefer the vegies more marinated.",0,0,0,0,,,,1,1,1,0,,0,20,2
